parent, child
"Chaos", "Gaia"
"Gaia", "Uranus"
"Gaia", "Coeus"
"Uranus", "Coeus"
"Gaia", "Crius"
"Uranus", "Crius"
"Gaia", "Cronus"
"Uranus", "Cronus"
"Gaia", "Hyperion"
"Uranus", "Hyperion"
"Gaia", "Iapetus"
"Uranus", "Iapetus"
"Gaia", "Oceanus"
"Uranus", "Oceanus"
"Gaia", "Mnemosyne"
"Uranus", "Mnemosyne"
"Gaia", "Phoebe"
"Uranus", "Phoebe"
"Gaia", "Rhea"
"Uranus", "Rhea"
"Gaia", "Theia"
"Uranus", "Theia"
"Gaia", "Themis"
"Uranus", "Themis"
"Gaia", "Tethys"
"Uranus", "Tethys"
"Hyperion", "Helios"
"Theia", "Helios"
"Hyperion", "Selene"
"Theia", "Selene"
"Hyperion", "Eos"
"Theia", "Eos"
"Crius", "Astraeus"
"Eurybia", "Astraeus"
"Crius", "Pallas"
"Eurybia", "Pallas"
"Crius", "Perses"
"Eurybia", "Perses"
"Cronus", "Hestia"
"Rhea", "Hestia"
"Cronus", "Hera"
"Rhea", "Hera"
"Cronus", "Zeus"
"Rhea", "Zeus"
"Cronus", "Poseidon"
"Rhea", "Poseidon"
"Cronus", "Hades"
"Rhea", "Hades"
"Cronus", "Demeter"
"Rhea", "Demeter"
"Zeus", "Apollo"
"Leto", "Apollo"
"Zeus", "Artemis"
"Leto", "Artemis"
"Coeus", "Asteria"
"Phoebe", "Asteria"
"Coeus", "Leto"
"Phoebe", "Leto"
"Asteria", "Hecate"
"Perses", "Hecate"
"Iapetus", "Atlas" 
"Clymene", "Atlas"
"Iapetus", "Menoetius" 
"Clymene", "Menoetius"
"Iapetus", "Prometheus" 
"Clymene", "Prometheus"
"Iapetus", "Epimetheus" 
"Clymene", "Epimetheus"
"Erebus", "Aether"
"Nyx", "Aether"
"Erebus", "Hemera"
"Nyx", "Hemera"
"Nyx", "Hypnos"
"Nyx", "Thanatos"
"Nyx", "Geras"
"Nyx", "Clotho"
"Nyx", "Lachesis"
"Nyx", "Atropos"

